district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Çukurca,33,10729,7781,7621,1255,844,12,15,4875,325,34,203,51,7,0,Hakkari
Hakkari Merkez,153,48683,41990,40765,6267,1512,135,78,30363,1493,277,535,88,17,0,Hakkari
Şemdinli,104,35925,28765,27525,11012,1018,272,63,13656,818,170,335,156,25,0,Hakkari
Yüksekova,221,72921,61740,59655,7010,1388,373,115,48443,1397,224,560,107,38,0,Hakkari
Bayburt Merkez,216,44886,38372,37806,20985,10842,65,36,295,1332,1206,2489,525,31,0,Bayburt
Aydıntepe,30,5174,4561,4462,2622,1119,10,5,10,179,128,324,60,5,0,Bayburt
Demirözü,39,6039,5431,5369,3401,1167,2,6,33,312,237,128,77,6,0,Bayburt
Seçim çevresi toplamı (2 nolu),3078,1046996,938619,921044,445559,105768,2742,2248,58408,178822,16646,98604,10029,2218,0,Bursa
Gemlik,236,82166,72767,71647,27539,8190,221,230,4392,20119,1518,8411,767,260,0,Bursa
İnegöl,546,180497,164412,161390,94075,18975,220,385,9026,20771,4516,11305,1856,261,0,Bursa
İznik,117,33953,30840,30155,13485,2446,97,88,441,7518,640,5088,241,111,0,Bursa
Keles,47,9943,9102,8686,5324,760,44,62,50,1071,157,1130,76,12,0,Bursa
Mudanya,212,72126,65240,64274,21051,4897,78,185,2550,24594,637,9589,463,230,0,Bursa
Orhangazi,181,59365,53822,52809,22203,5849,102,180,1365,13592,1018,7908,428,164,0,Bursa
Yenişehir,147,40452,36970,36021,15355,4557,86,102,1881,7456,644,5522,330,88,0,Bursa
Harmancık,41,5350,4858,4599,2564,501,16,39,45,700,121,548,52,13,0,Bursa
Yıldırım,1252,460007,408631,401193,199205,46509,1502,771,33213,68517,5770,40158,4623,925,0,Bursa
Gürsu,160,57521,50698,49740,26331,7989,306,140,2702,6257,886,4271,790,68,0,Bursa
Kestel,139,45616,41279,40530,18427,5095,70,66,2743,8227,739,4674,403,86,0,Bursa
Ayvalık,176,58848,52619,51632,11195,3581,59,194,4482,24274,256,7121,262,196,12,Balıkesir
Balya,58,11265,10497,10036,4178,870,42,90,221,3068,115,1361,59,23,9,Balıkesir
Bandırma,340,114498,103123,101446,33692,6914,150,235,4838,36391,1227,16802,730,431,36,Balıkesir
Bigadiç,142,37243,34464,33539,16966,2702,80,96,945,6954,529,4896,288,72,11,Balıkesir
Burhaniye,148,47436,43221,42327,12828,2586,57,166,3328,17278,271,5421,258,129,5,Balıkesir
Dursunbey,160,28959,26438,25552,17757,2385,51,97,104,1710,622,2381,411,29,5,Balıkesir
Edremit,349,121762,108141,106279,30807,6295,120,439,8549,44019,1046,13948,707,328,21,Balıkesir
Erdek,88,27071,24161,23646,6987,872,32,80,746,11865,187,2642,135,95,5,Balıkesir
Gönen,223,59371,53830,52567,22609,3507,142,186,1112,15257,507,8722,380,134,11,Balıkesir
Havran,72,20700,19068,18401,10347,1358,58,144,123,3328,212,2657,137,32,5,Balıkesir
İvrindi,110,26301,24750,23945,13572,1698,86,137,177,4484,261,3272,208,44,6,Balıkesir
Kepsut,91,17272,16921,16306,9828,1235,45,70,326,1957,420,2241,147,33,4,Balıkesir
Manyas,72,16045,14367,13852,4923,1340,46,46,199,4831,154,2151,121,39,2,Balıkesir
Savaştepe,77,14272,13166,12697,6553,928,34,52,148,2553,97,2193,107,28,4,Balıkesir
Sındırgı,118,28821,26754,25607,12576,1580,91,135,191,7075,406,3288,188,69,8,Balıkesir
Susurluk,118,31196,28021,27249,10671,2023,72,67,397,8512,310,4889,197,104,7,Balıkesir
