district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Pervari,58,15319,12928,12300,6785,315,171,48,4173,209,63,471,56,9,0,Siirt
Siirt Merkez,277,91019,78667,76360,27718,2684,1022,110,40654,1752,864,1151,340,65,0,Siirt
Şirvan,53,11568,9436,9088,6408,476,71,21,1728,129,72,137,39,7,0,Siirt
Tillo,12,2579,2297,2255,1796,62,14,0,310,26,13,21,12,1,0,Siirt
Batman Merkez,731,257182,221637,215135,44505,1545,0,297,144006,2491,6364,2326,421,169,13011,Batman
Beşiri,84,16935,14707,14164,3804,127,0,16,8825,144,503,160,46,7,532,Batman
Gercüş,67,12155,10134,9724,3714,237,0,22,4148,147,438,142,36,11,829,Batman
Kozluk,125,34386,29584,28762,7964,532,0,36,17763,434,748,229,59,16,981,Batman
Sason,90,17206,13335,12754,6490,348,0,39,4293,435,362,232,62,22,471,Batman
Hasankeyf,28,4247,3694,3521,1312,44,0,10,1283,89,556,38,9,6,174,Batman
Aksaray Merkez,581,187735,164245,160866,88059,33936,472,285,1920,13970,1256,18386,2316,266,0,Aksaray
Ortaköy,87,22942,19417,18874,10907,3681,39,53,127,1580,158,2000,303,26,0,Aksaray
Ağaçören,40,6284,5355,5177,2934,1277,23,8,17,267,64,452,130,5,0,Aksaray
Güzelyurt,31,8240,7030,6829,3625,1540,18,15,137,959,32,342,154,7,0,Aksaray
Sarıyahşi,16,3743,2758,2634,1476,401,17,13,16,340,71,260,33,7,0,Aksaray
Eskil,67,17510,15797,15453,9140,2911,35,27,28,1582,156,1387,171,16,0,Aksaray
Gülağaç,47,13566,11353,11073,5487,2160,21,35,193,2138,94,744,186,15,0,Aksaray
Sultanhanı,22,6850,6220,6072,3698,682,14,5,23,920,55,622,44,9,0,Aksaray
Çifteler,48,11484,9896,9499,3541,2150,24,38,313,2021,94,1170,130,16,2,Eskişehir
Mahmudiye,27,5764,5030,4852,1857,394,15,12,446,1382,46,649,38,10,3,Eskişehir
Mihalıççık,59,7000,5949,5722,2424,829,29,30,51,1365,80,823,82,9,0,Eskişehir
Sarıcakaya,16,4060,3627,3510,2126,321,10,13,35,577,44,348,27,7,2,Eskişehir
Seyitgazi,67,10793,9993,9680,4407,788,21,31,173,3135,48,989,70,16,2,Eskişehir
Sivrihisar,94,16303,14074,13594,6317,1585,45,59,425,2711,116,2140,158,33,5,Eskişehir
Alpu,44,8864,7746,7486,3805,919,14,41,83,1678,49,779,101,15,2,Eskişehir
Beylikova,29,5095,4486,4314,1777,420,11,21,64,1265,29,663,47,16,1,Eskişehir
İnönü,23,5352,5017,4888,2542,505,8,8,57,1165,64,474,47,17,1,Eskişehir
Günyüzü,25,4925,4446,4307,2699,419,15,11,19,639,40,410,43,10,2,Eskişehir
Han,16,1739,1516,1434,561,139,6,8,13,540,13,139,13,2,0,Eskişehir
Mihalgazi,10,2642,2449,2377,1373,188,6,6,10,405,91,267,27,4,0,Eskişehir
Odunpazarı,847,296082,265075,260810,92599,24675,251,583,10520,91176,2890,34665,2308,1023,120,Eskişehir
Tepebaşı,768,265431,235873,231594,86418,21941,303,537,9588,75030,2666,31949,2054,971,137,Eskişehir
Ağlasun,27,6577,5931,5625,3265,598,20,27,21,725,73,820,63,13,0,Burdur
Bucak,165,47964,43658,42333,20631,6096,130,132,433,5236,558,8623,420,74,0,Burdur
Burdur Merkez,252,75945,69131,67203,23970,6885,172,214,1506,16546,1314,15886,499,211,0,Burdur
Gölhisar,56,16726,14757,14226,7292,2353,41,62,143,1919,203,2031,149,33,0,Burdur
Tefenni,34,8248,7131,6827,2222,1623,28,40,73,1349,76,1333,71,12,0,Burdur
Yeşilova,60,13172,11797,11276,3762,936,37,124,107,4240,126,1803,97,44,0,Burdur
Karamanlı,28,6352,5733,5581,2006,477,17,24,84,1707,80,1126,44,16,0,Burdur
Kemer,11,2730,2447,2347,1216,317,15,14,7,298,50,392,35,3,0,Burdur
Altınyayla,15,4317,3917,3680,2452,298,29,24,18,272,30,513,40,4,0,Burdur
Çavdır,36,9966,8613,8239,3427,1161,50,55,65,1722,95,1556,84,24,0,Burdur
Çeltikçi,16,4383,4002,3796,1948,540,25,20,11,519,38,643,40,12,0,Burdur
Derik,130,34218,29277,28749,3999,408,474,28,22719,678,129,254,40,10,10,Mardin
Kızıltepe,473,141228,122328,120269,21300,861,2311,66,90355,3426,908,624,185,46,187,Mardin
Mazıdağı,80,19854,17133,16481,2818,167,732,26,11854,661,83,113,14,2,11,Mardin
Midyat,224,65389,50573,48614,24304,2032,1125,70,18217,970,742,848,243,42,21,Mardin
Nusaybin,194,60788,49890,48278,6219,424,866,53,39426,734,154,290,82,9,21,Mardin
Ömerli,49,8637,7375,6924,3264,564,51,9,2607,231,53,95,41,7,2,Mardin
Savur,65,15844,12455,12011,4746,422,199,11,6044,306,43,176,54,9,1,Mardin
Dargeçit,58,15690,13057,12479,2577,177,662,22,8615,207,70,111,23,9,6,Mardin
Yeşilli,32,8444,7347,7231,4556,565,172,3,1600,146,67,65,46,1,10,Mardin
Artuklu,328,100453,86297,84245,39851,3767,1661,353,32220,3556,902,1376,408,70,81,Mardin
Çankırı Merkez,207,61987,54973,53922,28337,12249,64,80,459,2918,562,8295,831,127,0,Çankırı
Çerkeş,77,11799,9893,9611,5336,1562,28,38,70,1142,130,1154,131,20,0,Çankırı
Eldivan,27,4836,4327,4195,2558,675,9,12,10,323,59,472,64,13,0,Çankırı
Ilgaz,95,11438,10083,9800,6093,1675,26,31,30,590,152,1001,188,14,0,Çankırı
Kurşunlu,45,6624,5831,5701,3583,876,20,16,30,512,51,508,97,8,0,Çankırı
Orta,45,8379,7404,7286,5172,1370,4,10,14,157,106,317,128,8,0,Çankırı
Şabanözü,39,8133,7329,7136,4008,1144,12,21,30,1087,57,674,92,11,0,Çankırı
Yapraklı,46,6391,5663,5568,4162,807,13,11,8,81,64,331,86,5,0,Çankırı
Atkaracalar,22,3275,2731,2672,1849,308,6,3,15,106,23,321,37,4,0,Çankırı
Kızılırmak,33,5746,5055,4945,2813,1389,12,7,29,220,19,359,92,5,0,Çankırı
Bayramören,30,2022,1802,1762,1295,146,6,7,3,67,17,169,49,3,0,Çankırı
Korgun,18,3328,3015,2946,2099,425,3,5,4,74,30,255,44,7,0,Çankırı
Çiçekdağı,70,11146,9554,9279,4767,1921,57,20,425,1025,127,742,185,7,3,Kırşehir
Kaman,112,27437,22502,21783,9321,3164,49,66,371,5822,176,2457,238,51,68,Kırşehir
Kırşehir Merkez,323,99218,86749,84946,30908,15193,113,136,4319,22901,896,9262,995,202,21,Kırşehir
Mucur,80,14198,12595,12311,5483,1977,13,22,166,3356,104,1030,128,28,4,Kırşehir
Akpınar,35,5955,5205,5050,2635,560,13,24,34,1226,34,453,60,9,2,Kırşehir
Akçakent,23,3171,2750,2671,1667,429,6,12,13,238,31,217,46,10,2,Kırşehir
Boztepe,24,4367,3942,3851,1278,329,3,3,701,1302,28,177,17,12,1,Kırşehir
Ardeşen,116,30661,26846,26264,15221,2904,27,28,257,4686,592,2223,264,54,8,Rize
Çamlıhemşin,38,5320,4575,4458,2830,503,6,11,55,773,43,167,63,6,1,Rize
Çayeli,137,33038,29037,28529,19322,4551,42,36,115,1969,387,1665,384,47,11,Rize
Fındıklı,51,12697,11127,10774,4529,786,14,23,403,3663,89,1120,111,31,5,Rize
İkizdere,38,5061,4304,4214,3238,438,6,17,10,272,48,137,44,3,1,Rize
Kalkandere,43,9033,8375,8221,5772,858,6,7,147,644,122,575,60,4,26,Rize
Pazar,106,24653,21274,20721,11381,2534,29,58,323,4615,228,1242,258,41,12,Rize
Rize Merkez,343,106683,93655,91851,60820,11887,75,134,665,9587,2253,5139,934,174,183,Rize
Güneysu,39,10627,9890,9720,7814,928,9,11,13,391,109,329,98,14,4,Rize
Derepazarı,24,5698,5154,5061,3567,715,3,6,24,407,102,161,60,8,8,Rize
Hemşin,13,2173,1867,1822,1050,149,6,12,29,413,19,117,19,4,4,Rize
İyidere,27,6698,6010,5872,4404,654,5,11,7,380,104,213,70,11,13,Rize
Yalova Merkez,270,97657,84855,83448,35440,5727,163,157,7405,23791,1076,8746,724,219,0,Yalova
Altınova,61,18767,16762,16475,7938,1247,54,33,1080,4464,211,1272,137,39,0,Yalova
Armutlu,23,6829,5984,5882,2581,864,15,11,361,1257,113,591,67,22,0,Yalova
Çınarcık,69,23879,20284,19924,7844,1622,16,63,1510,6768,178,1676,190,57,0,Yalova
Çiftlikköy,80,26885,23562,23111,9864,1963,37,50,1288,6883,336,2398,212,80,0,Yalova
Termal,12,4161,3711,3627,2120,236,1,8,69,680,81,406,17,9,0,Yalova
Çayırlı,56,6890,6220,6149,2905,667,4,1,263,2079,54,124,41,11,0,Erzincan
Erzincan Merkez,363,106890,97029,95481,40185,18138,86,81,5974,24048,1188,4543,1095,143,0,Erzincan
İliç,67,6332,5671,5521,3044,840,7,6,82,1206,74,196,61,5,0,Erzincan
Kemah,86,5934,5400,5299,2766,447,9,7,242,1542,64,163,50,9,0,Erzincan
Kemaliye,72,4010,3368,3314,2018,353,3,32,57,592,51,168,31,9,0,Erzincan
Refahiye,131,8850,7972,7868,4520,862,9,11,101,1934,52,276,93,10,0,Erzincan
Tercan,102,12011,10574,10435,4249,1893,6,6,597,3206,48,285,134,11,0,Erzincan
Üzümlü,52,9360,8444,8332,2512,3060,11,4,285,2089,29,202,133,7,0,Erzincan
Otlukbeli,14,1891,1677,1636,814,526,3,0,14,206,29,26,16,2,0,Erzincan
Bor,145,43505,39218,38442,17218,7570,80,111,406,7389,358,4699,539,72,0,Niğde
Çamardı,39,9408,7928,7659,4088,1372,31,43,44,891,72,963,133,22,0,Niğde
Niğde Merkez,438,145100,127697,125344,53229,25289,205,259,1638,25393,1817,15849,1450,215,0,Niğde
Ulukışla,70,16030,14209,13791,4385,3250,54,88,236,3785,94,1629,230,40,0,Niğde
Altunhisar,29,8797,7402,7166,3972,1561,22,38,30,986,47,397,106,7,0,Niğde
Çiftlik,57,17261,14476,13888,5211,3677,51,74,70,3153,99,1251,258,44,0,Niğde
Seçim çevresi toplamı (3 nolu),10087,3696176,3242484,3189988,1306005,265996,6514,5738,456265,808690,43300,262799,25218,8456,1007,İstanbul
Bakırköy,463,168450,147943,146304,28993,6424,94,466,20283,69677,1727,17225,618,726,71,İstanbul
Çatalca,160,53501,48873,47681,17817,2924,71,89,1838,16685,459,7293,320,156,29,İstanbul
Silivri,386,120995,115744,113456,37394,9411,142,283,12158,39207,1380,12165,852,402,62,İstanbul
Büyükçekmece,471,172351,151341,149151,56466,11544,158,347,13330,49045,1420,15161,1122,511,47,İstanbul
Küçükçekmece,1468,541033,474705,467024,176882,40540,1032,848,62294,129231,5930,45047,3738,1326,156,İstanbul
Avcılar,811,302286,263133,258744,90945,19715,355,476,33776,86321,2700,21685,1888,784,99,İstanbul
Bağcılar,1359,506091,443545,435931,222074,43754,1081,644,66243,64098,7010,26145,3988,785,109,İstanbul
Bahçelievler,1158,427357,372488,366878,159863,30319,753,647,48979,86648,5638,30068,2905,934,124,İstanbul
Güngören,571,211075,183720,180855,84937,15514,414,311,21109,38859,2989,14672,1534,476,40,İstanbul
Arnavutköy,471,168986,148790,145345,77685,16591,488,222,22867,15195,2097,8288,1678,193,41,İstanbul
Başakşehir,690,253892,225857,222658,104233,16558,613,316,32232,44348,5278,16788,1631,603,58,İstanbul
Beylikdüzü,595,220711,195406,193260,69359,13856,236,440,19578,64567,2572,20729,1185,676,62,İstanbul
Esenyurt,1484,549448,470939,462701,179357,38846,1077,649,101578,104809,4100,27533,3759,884,109,İstanbul
Aralık,48,12697,9434,9190,2122,1682,18,51,4000,217,740,314,37,9,0,Iğdır
Iğdır Merkez,245,83206,65695,64231,11619,16194,116,110,29321,1428,843,4072,445,83,0,Iğdır
Tuzluca,82,14757,11324,10963,2620,1849,39,28,5198,360,161,617,74,17,0,Iğdır
Karakoyunlu,33,8995,6844,6731,1376,2160,25,14,2538,136,92,333,51,6,0,Iğdır
Seçim çevresi toplamı (2 nolu),8316,3043424,2657989,2614767,1158833,208937,5320,5026,317391,648737,40999,199693,21480,7181,1170,İstanbul
Beşiktaş,394,140754,123479,122284,18892,3906,54,456,20131,64701,1000,12065,385,585,109,İstanbul
Beyoğlu,475,170779,145618,143037,63426,10718,214,339,23847,31526,2454,8849,1226,371,67,İstanbul
Eyüpsultan,752,273863,242854,238834,102136,19333,313,419,23205,67227,4008,19417,2010,680,86,İstanbul
Fatih,794,283991,240249,235547,110788,14943,442,588,26810,54703,5062,19329,2015,742,125,İstanbul
Gaziosmanpaşa,936,349260,305036,299889,152308,24512,501,505,30251,59652,4870,23816,2611,758,105,İstanbul
Sarıyer,690,248940,219676,216281,76999,16304,187,504,22406,75892,2723,18551,1775,817,123,İstanbul
Şişli,562,204319,174857,172419,42813,8940,175,493,31404,71366,1549,13880,962,689,148,İstanbul
Zeytinburnu,520,191796,165085,162260,70984,14300,897,247,24676,32664,2309,14282,1393,437,71,İstanbul
Kağıthane,866,319199,278618,274105,125325,28035,480,475,26850,62783,5270,21516,2511,714,146,İstanbul
Bayrampaşa,542,199348,175933,173395,82041,15265,216,343,8366,43578,2740,18760,1474,552,60,İstanbul
Esenler,841,310787,274818,270224,150918,28732,722,323,31551,34308,4374,16110,2697,422,67,İstanbul
Sultangazi,944,350388,311766,306492,162203,23949,1119,334,47894,50337,4640,13118,2421,414,63,İstanbul
Bulanık,153,44242,35763,34755,4935,672,136,102,27028,431,206,1159,64,22,0,Muş
Malazgirt,111,27866,23068,22421,3679,496,72,68,17392,285,107,270,44,8,0,Muş
Muş Merkez,355,108161,88242,84951,36674,4876,2169,126,34318,1446,1101,3757,438,46,0,Muş
Varto,66,20147,17215,16474,1106,168,57,52,13702,1139,40,188,15,7,0,Muş
Hasköy,50,14158,13174,12955,8374,207,56,10,1803,196,102,2185,14,8,0,Muş
Korkut,53,13964,11813,11481,2979,108,294,33,7501,136,96,322,9,3,0,Muş
Çaycuma,257,72211,64152,60854,29979,3351,166,254,599,20379,1290,4248,403,167,18,Zonguldak
Devrek,168,45179,38702,36642,20376,2644,118,219,352,8727,693,3049,338,106,20,Zonguldak
Ereğli,415,128418,114891,110877,48258,13796,203,390,1894,33996,1207,8729,1055,363,986,Zonguldak
Zonguldak Merkez,287,90204,77532,75303,28721,9434,135,276,1375,26599,1750,6027,680,280,26,Zonguldak
Alaplı,120,32480,29486,28400,14552,3524,63,116,322,6749,387,2127,394,76,90,Zonguldak
Gökçebey,60,16723,14672,13649,6392,961,63,93,163,4410,211,1169,120,57,10,Zonguldak
Kilimli,87,27440,23641,22977,8637,3478,24,76,181,7944,552,1802,206,62,15,Zonguldak
Kozlu,114,34208,29739,28950,13260,3501,43,98,496,8000,636,2526,265,99,26,Zonguldak
Banaz,105,28094,25493,24450,10006,2850,81,120,217,7243,182,3450,244,57,0,Uşak
Eşme,120,27918,25269,24278,9395,1531,138,116,607,8519,183,3572,147,70,0,Uşak
Karahallı,31,8491,7576,7248,3417,436,19,26,99,2139,101,942,49,20,0,Uşak
Sivaslı,54,15605,14238,13653,5753,1238,44,47,201,4714,81,1447,85,43,0,Uşak
Ulubey,48,10595,9704,9356,3362,793,34,45,154,3559,70,1242,72,25,0,Uşak
Uşak Merkez,538,175790,160547,157022,68431,17824,288,370,4917,40857,2646,19854,1452,383,0,Uşak
Altınözü,124,35942,31809,31198,18393,7280,49,43,423,3231,215,1056,471,37,0,Hatay
Dörtyol,239,82689,72574,71252,25173,15744,148,86,6861,12779,1030,8629,690,112,0,Hatay
Hassa,121,36231,31908,31078,18187,4838,86,80,360,2578,586,4018,299,46,0,Hatay
İskenderun,482,171301,151398,149476,50676,23838,388,262,12913,45508,1225,12914,1432,320,0,Hatay
Kırıkhan,235,73575,64937,64052,36724,13308,102,86,1308,6478,530,4789,656,71,0,Hatay
Reyhanlı,173,54641,45331,44372,22137,12861,78,64,737,5606,464,1768,603,54,0,Hatay
Samandağ,236,80101,70605,69604,3428,1531,63,137,22453,40176,128,1448,110,130,0,Hatay
Yayladağı,77,18190,17148,16764,9483,3150,40,29,308,2415,207,880,222,30,0,Hatay
Erzin,88,28605,25191,24772,7192,4740,47,31,3459,5806,240,2980,231,46,0,Hatay
Belen,70,23018,20961,20616,8833,5044,26,44,401,3120,282,2580,251,35,0,Hatay
Kumlu,30,8090,7110,6994,3558,1600,8,6,35,1221,62,440,59,5,0,Hatay
Antakya,683,236374,212110,209194,93011,25919,214,182,15709,56913,2337,12589,1926,394,0,Hatay
Arsuz,184,60827,55225,54532,8501,4893,60,72,6317,31901,183,2207,258,140,0,Hatay
Defne,302,104137,94272,93086,4877,1645,98,126,25540,58481,219,1803,105,192,0,Hatay
Payas,80,27355,24703,24290,10012,4788,104,42,1821,4932,481,1810,255,45,0,Hatay
Ardanuç,65,9196,8093,7808,2524,374,34,29,294,3469,85,918,44,37,0,Artvin
Arhavi,70,16214,14082,13796,6462,1170,20,35,292,4084,259,1230,198,46,0,Artvin
Artvin Merkez,111,25085,22186,21697,7140,2767,59,68,666,7241,313,3179,173,91,0,Artvin
Borçka,66,16979,14768,14363,6421,2183,36,42,325,3649,236,1201,232,38,0,Artvin
Hopa,69,19741,17356,17049,5096,1354,38,65,1922,6623,252,1539,119,41,0,Artvin
Şavşat,91,15624,13473,12919,4576,736,66,95,509,5120,296,1389,86,46,0,Artvin
Yusufeli,115,17157,14975,14447,8992,1683,50,67,105,2003,138,1203,180,26,0,Artvin
Murgul,20,4531,4030,3941,1360,591,9,8,90,1301,37,486,45,14,0,Artvin
Kemalpaşa,26,6748,6103,5971,1529,411,13,14,873,2615,25,455,25,11,0,Artvin
Akhisar,411,130082,119355,116343,43705,10791,294,363,4381,41408,1214,12968,905,314,0,Manisa
Alaşehir,257,75827,68455,66261,23418,7745,254,263,3569,19328,720,10274,498,192,0,Manisa
Demirci,135,30266,27604,26689,15457,3153,88,105,175,3494,473,3414,279,51,0,Manisa
Gördes,95,22759,21064,20168,10396,2695,104,109,154,3400,210,2784,259,57,0,Manisa
Kırkağaç,103,29256,26637,25896,15063,2309,65,71,309,4314,340,3155,219,51,0,Manisa
Kula,136,34703,31731,30562,14057,4414,123,150,363,6209,268,4613,297,68,0,Manisa
Salihli,387,123901,112319,109704,33073,13209,298,333,8206,37134,708,15575,890,278,0,Manisa
Sarıgöl,93,28394,26000,24985,6894,2450,140,133,848,9242,162,4889,145,82,0,Manisa
Saruhanlı,138,41904,39071,38082,13434,3300,107,88,2855,12208,277,5472,248,93,0,Manisa
Selendi,83,16025,14523,13946,5304,4494,68,82,125,2279,120,1223,234,17,0,Manisa
Soma,269,79850,73275,71737,34202,7931,128,232,1999,16862,906,8620,662,195,0,Manisa
Turgutlu,343,116822,105261,102956,39873,11191,300,223,12237,22497,960,14501,905,269,0,Manisa
Ahmetli,46,12678,11599,11308,4962,1128,47,32,632,2633,95,1679,78,22,0,Manisa
Gölmarmara,42,11333,10470,10229,3117,1017,24,18,2009,3113,47,780,78,26,0,Manisa
Köprübaşı,62,10867,9904,9469,4396,978,44,40,102,2068,77,1664,81,19,0,Manisa
Şehzadeler,358,120239,110187,108152,41653,11947,227,191,9725,25877,849,16376,976,331,0,Manisa
Yunusemre,477,159722,146287,143711,54912,16891,234,306,14509,33828,1240,20015,1370,406,0,Manisa
Aşkale,99,16052,14507,14297,8162,3503,24,20,237,680,221,1173,257,20,0,Erzurum
Çat,57,11120,9632,9407,5146,1215,21,16,1603,862,101,336,99,8,0,Erzurum
Hınıs,115,16513,13476,12817,4163,474,63,34,6678,918,137,275,60,15,0,Erzurum
Horasan,123,23803,20217,19875,12669,3408,34,27,2000,315,184,826,390,22,0,Erzurum
İspir,122,12918,11515,11295,8002,1632,31,24,36,449,231,731,143,16,0,Erzurum
Karayazı,99,16250,13557,13098,2765,200,44,37,9734,149,59,83,22,5,0,Erzurum
Narman,57,9463,8339,8169,5068,1699,16,25,31,295,117,756,159,3,0,Erzurum
Oltu,123,22395,19698,19356,11824,4021,41,47,353,855,511,1323,362,19,0,Erzurum
Olur,47,5626,4753,4627,2967,742,13,15,13,224,60,497,87,9,0,Erzurum
Pasinler,92,18403,16667,16325,9246,3474,33,26,666,438,324,1857,238,23,0,Erzurum
Şenkaya,88,13512,10954,10659,4838,1236,30,38,1342,2094,118,589,348,26,0,Erzurum
Tekman,85,15055,12307,11720,2699,168,57,74,8199,277,101,109,21,15,0,Erzurum
Tortum,78,11952,10828,10689,7659,1846,16,15,10,220,159,619,135,10,0,Erzurum
Karaçoban,51,12845,9968,9567,1802,334,31,29,7025,151,45,105,37,8,0,Erzurum
Uzundere,27,6645,5931,5801,3869,1051,11,17,14,145,120,471,95,8,0,Erzurum
Pazaryolu,46,3422,3115,3087,2382,405,2,3,5,62,46,140,41,1,0,Erzurum
Aziziye,150,38269,34666,34228,20540,7811,33,30,630,939,612,3092,510,31,0,Erzurum
Köprüköy,53,9463,8421,8249,5149,1250,28,19,1197,124,58,358,59,7,0,Erzurum
Palandöken,323,113170,98717,97146,50206,20957,203,91,6974,3774,2132,11185,1454,170,0,Erzurum
Yakutiye,352,116710,103846,102405,58419,22699,102,93,3138,3819,2179,10119,1682,155,0,Erzurum
Anamur,171,50407,45260,43953,13733,5976,120,138,873,12836,387,9453,302,123,12,Mersin
Erdemli,317,100445,90822,88981,36339,15638,169,172,3542,14697,988,16371,865,176,24,Mersin
Gülnar,96,19688,17878,17277,5737,3735,71,69,92,3986,113,3249,182,35,8,Mersin
Mut,176,46403,41715,40607,15979,4797,110,97,467,12394,458,5927,281,82,15,Mersin
Silifke,295,90740,81222,79356,22792,10314,210,254,2060,22732,396,19721,601,252,24,Mersin
Tarsus,730,234373,207352,203440,47207,38538,1291,384,33450,51586,1207,27326,1990,397,64,Mersin
Aydıncık,32,8452,7529,7305,2553,1141,33,25,78,1863,50,1457,83,22,0,Mersin
Bozyazı,68,20305,18335,17806,6913,2470,75,34,251,3074,128,4668,154,34,5,Mersin
Çamlıyayla,26,6639,6068,5868,1946,1650,45,20,33,847,32,1210,67,12,6,Mersin
Akdeniz,507,176007,155739,152395,38503,11179,1007,265,53406,36619,756,9486,869,266,39,Mersin
Mezitli,379,134212,117675,116232,26029,11202,180,277,18308,43393,615,15131,712,324,61,Mersin
Toroslar,584,203238,176436,173843,53918,21480,778,273,40316,33444,1427,20336,1493,335,43,Mersin
Yenişehir,494,179219,157419,155495,30551,11461,397,383,33787,59043,958,17589,773,480,73,Mersin
Alucra,54,7393,5909,5756,3805,1028,5,9,14,252,109,394,132,8,0,Giresun
Bulancak,177,50136,44621,43635,23263,4874,80,95,448,9272,724,4327,456,96,0,Giresun
Dereli,63,16091,14074,13566,9485,1103,54,46,25,895,80,1662,197,19,0,Giresun
Espiye,91,25516,21777,21096,11270,2164,90,72,243,3751,235,2893,324,54,0,Giresun
Eynesil,37,10339,8827,8555,4732,735,24,24,80,1836,136,876,94,18,0,Giresun
Giresun Merkez,307,98800,86368,84644,36382,7978,205,227,1391,18110,1073,18224,788,266,0,Giresun
Görele,111,24214,20498,19834,9944,2041,63,72,203,4180,218,2841,230,42,0,Giresun
Keşap,76,17023,14358,13946,7793,1177,57,44,116,2453,148,1984,138,36,0,Giresun
Şebinkarahisar,95,15985,13736,13406,8273,2154,24,35,76,1183,157,1239,242,23,0,Giresun
Tirebolu,98,24540,21239,20664,10433,2720,66,42,186,3378,184,3328,285,42,0,Giresun
Piraziz,42,10578,9358,9130,4776,703,27,21,67,2259,129,1047,72,29,0,Giresun
Yağlıdere,48,12036,10402,10053,6751,1073,46,59,52,701,116,1084,151,20,0,Giresun
Çamoluk,37,5760,4952,4863,3791,412,15,16,8,248,115,187,64,7,0,Giresun
Çanakçı,24,4942,4362,4208,2238,1052,23,15,16,436,37,316,67,8,0,Giresun
Doğankent,20,4886,4272,4158,2636,502,12,16,31,366,33,489,63,10,0,Giresun
Güce,24,6066,5466,5349,3563,564,11,19,27,610,48,452,53,2,0,Giresun
Bartın Merkez,372,112331,98205,94178,42535,17160,228,426,1177,23615,2100,5501,1191,245,0,Bartın
Kurucaşile,34,5335,4520,4289,1946,518,29,35,38,1291,99,273,44,16,0,Bartın
Ulus,100,17763,15780,14955,8745,1780,64,125,99,2899,284,736,186,37,0,Bartın
Amasra,50,11459,10153,9673,3394,1436,24,76,188,3599,156,689,79,32,0,Bartın
Gebze,715,259788,232259,227854,112770,29023,287,391,15278,41731,4659,20377,2623,562,153,Kocaeli
Gölcük,332,116600,104307,102434,48370,10054,115,162,3601,23437,2509,12761,1065,329,31,Kocaeli
Kandıra,180,35546,33992,32759,16528,4504,87,147,1080,5747,644,3568,369,72,13,Kocaeli
Karamürsel,136,42745,37511,36742,18182,3261,51,69,1008,7999,1222,4477,358,103,12,Kocaeli
Körfez,326,114658,102402,100433,43784,12194,198,166,11111,18551,2458,10726,951,271,23,Kocaeli
Derince,294,103074,92891,91069,39966,10398,136,144,6000,20320,1799,11049,946,276,35,Kocaeli
Başiskele,197,66499,61256,60263,33942,6591,84,75,1957,8762,1995,6074,627,140,16,Kocaeli
Çayırova,242,88216,78674,77289,37734,9500,121,89,7221,14685,1699,5248,842,121,29,Kocaeli
Darıca,379,138467,123036,120889,57063,14129,185,187,14129,21606,1963,10064,1226,261,76,Kocaeli
Dilovası,90,31109,27398,26604,12058,2401,145,35,8381,1560,307,1433,250,26,8,Kocaeli
İzmit,752,255778,230498,226260,97268,22554,314,438,9991,58348,5021,29367,2120,749,90,Kocaeli
Kartepe,234,81922,74625,73066,39006,7843,120,111,3103,12719,1674,7501,774,201,14,Kocaeli
Alaca,151,24272,21973,21604,11408,3488,43,27,710,3617,178,1780,332,21,0,Çorum
Bayat,78,12906,11493,11159,7940,1123,43,42,55,686,86,1063,108,13,0,Çorum
Çorum Merkez,725,205764,189084,185814,84158,26402,175,283,8747,46520,2246,14922,1975,386,0,Çorum
İskilip,125,25436,22778,22012,13899,3455,70,122,113,1627,296,2016,374,40,0,Çorum
Kargı,80,13316,11875,11365,7217,1223,48,74,55,1674,100,821,136,17,0,Çorum
Mecitözü,70,12329,11498,11231,5117,1225,12,19,457,3575,82,574,149,21,0,Çorum
Ortaköy,27,5552,5016,4884,2048,749,8,10,253,1223,49,475,58,11,0,Çorum
Osmancık,141,33135,30083,29186,17340,3589,87,87,242,4329,269,2854,336,53,0,Çorum
Sungurlu,182,36833,33066,32344,18024,4922,76,79,423,4358,303,3607,492,60,0,Çorum
Boğazkale,20,3120,2790,2709,1765,453,7,8,34,188,33,170,44,7,0,Çorum
Uğurludağ,29,4934,4385,4277,2821,662,11,14,23,435,21,245,44,1,0,Çorum
Dodurga,24,5108,4694,4534,2212,573,8,27,41,966,61,590,41,15,0,Çorum
Laçin,21,3600,3240,3116,1753,411,13,22,60,599,41,177,35,5,0,Çorum
Oğuzlar,18,4384,4103,3953,2381,347,19,26,17,794,36,292,33,8,0,Çorum
Arpaçay,58,12163,9555,9274,3807,948,37,36,1097,1831,47,1356,96,19,0,Kars
Digor,61,13731,11217,10856,1565,97,29,50,8769,201,19,100,21,5,0,Kars
Kağızman,113,28383,22854,22074,9489,1382,68,64,9221,858,113,718,138,23,0,Kars
Kars Merkez,241,71904,58935,57475,17739,4032,163,139,16794,11624,391,6094,369,130,0,Kars
Sarıkamış,100,25957,20735,19993,9980,2095,44,46,4901,1631,206,886,186,18,0,Kars
Selim,71,15194,12708,12236,6148,640,44,47,3184,1487,148,433,91,14,0,Kars
