age,male,female,all,city,district
55-59,7332,6695,14027,Antalya,Alanya
60-64,5433,5110,10543,Antalya,Alanya
65-69,3721,3970,7691,Antalya,Alanya
70-74,2533,2675,5208,Antalya,Alanya
75+,3372,4147,7519,Antalya,Alanya
18-24,2354,2277,4631,Kayseri,Yahyalı
25-29,1311,1160,2471,Kayseri,Yahyalı
30-34,1245,1068,2313,Kayseri,Yahyalı
35-39,1131,1058,2189,Kayseri,Yahyalı
40-44,1007,1019,2026,Kayseri,Yahyalı
45-49,1136,1100,2236,Kayseri,Yahyalı
50-54,1087,994,2081,Kayseri,Yahyalı
55-59,1014,1072,2086,Kayseri,Yahyalı
60-64,831,915,1746,Kayseri,Yahyalı
65-69,682,770,1452,Kayseri,Yahyalı
70-74,526,624,1150,Kayseri,Yahyalı
75+,704,1177,1881,Kayseri,Yahyalı
18-24,6752,6774,13526,Şanlıurfa,Akçakale
25-29,3997,3670,7667,Şanlıurfa,Akçakale
30-34,3228,3016,6244,Şanlıurfa,Akçakale
35-39,2758,2708,5466,Şanlıurfa,Akçakale
40-44,2086,1919,4005,Şanlıurfa,Akçakale
45-49,1612,1575,3187,Şanlıurfa,Akçakale
50-54,1508,1429,2937,Şanlıurfa,Akçakale
55-59,791,1089,1880,Şanlıurfa,Akçakale
60-64,827,845,1672,Şanlıurfa,Akçakale
65-69,527,662,1189,Şanlıurfa,Akçakale
70-74,335,413,748,Şanlıurfa,Akçakale
75+,286,641,927,Şanlıurfa,Akçakale
18-24,657,654,1311,Kahramanmaraş,Nurhak
25-29,482,386,868,Kahramanmaraş,Nurhak
30-34,475,381,856,Kahramanmaraş,Nurhak
35-39,462,435,897,Kahramanmaraş,Nurhak
40-44,385,402,787,Kahramanmaraş,Nurhak
45-49,379,345,724,Kahramanmaraş,Nurhak
50-54,342,334,676,Kahramanmaraş,Nurhak
55-59,316,319,635,Kahramanmaraş,Nurhak
60-64,323,319,642,Kahramanmaraş,Nurhak
65-69,270,297,567,Kahramanmaraş,Nurhak
70-74,221,195,416,Kahramanmaraş,Nurhak
75+,299,390,689,Kahramanmaraş,Nurhak
18-24,11749,11764,23513,İstanbul,Büyükçekmece
25-29,8402,8821,17223,İstanbul,Büyükçekmece
30-34,9343,9947,19290,İstanbul,Büyükçekmece
35-39,10618,10972,21590,İstanbul,Büyükçekmece
40-44,9799,9902,19701,İstanbul,Büyükçekmece
45-49,8387,8492,16879,İstanbul,Büyükçekmece
50-54,7209,7150,14359,İstanbul,Büyükçekmece
55-59,6122,6048,12170,İstanbul,Büyükçekmece
60-64,4721,4840,9561,İstanbul,Büyükçekmece
65-69,3452,3815,7267,İstanbul,Büyükçekmece
70-74,2218,2584,4802,İstanbul,Büyükçekmece
75+,2548,3448,5996,İstanbul,Büyükçekmece
18-24,4302,4732,9034,Konya,Akşehir
25-29,2596,2790,5386,Konya,Akşehir
30-34,2930,2983,5913,Konya,Akşehir
35-39,3102,3156,6258,Konya,Akşehir
40-44,2954,3267,6221,Konya,Akşehir
45-49,2907,3289,6196,Konya,Akşehir
50-54,2915,3242,6157,Konya,Akşehir
55-59,3075,3390,6465,Konya,Akşehir
60-64,2542,2883,5425,Konya,Akşehir
65-69,2186,2467,4653,Konya,Akşehir
70-74,1540,1877,3417,Konya,Akşehir
75+,2030,2849,4879,Konya,Akşehir
18-24,716,759,1475,Erzurum,İspir
25-29,427,404,831,Erzurum,İspir
30-34,451,398,849,Erzurum,İspir
35-39,411,433,844,Erzurum,İspir
40-44,394,374,768,Erzurum,İspir
45-49,392,497,889,Erzurum,İspir
50-54,434,483,917,Erzurum,İspir
55-59,515,614,1129,Erzurum,İspir
60-64,605,691,1296,Erzurum,İspir
65-69,537,547,1084,Erzurum,İspir
70-74,430,538,968,Erzurum,İspir
75+,846,1022,1868,Erzurum,İspir
18-24,14212,14500,28712,İstanbul,Beylikdüzü
