age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
60-64,1177,1158,2335,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
65-69,1078,1121,2199,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
70-74,823,930,1753,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
75+,1126,1416,2542,Kahramanmaraş,Göksun,144.0,36557.0,31935.0,31108.0,16384.0,6590.0,93.0,110.0,522.0,3078.0,581.0,3250.0,460.0,40.0,0.0
18-24,2031,1984,4015,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
25-29,1076,1061,2137,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
30-34,1054,983,2037,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
35-39,1141,1065,2206,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
40-44,1097,954,2051,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
45-49,1025,978,2003,Giresun,Espiye,91.0,25516.0,21777.0,21096.0,11270.0,2164.0,90.0,72.0,243.0,3751.0,235.0,2893.0,324.0,54.0,0.0
